TIME	OFI	DELTA_MID
10:13:50	-30.0	0
10:14:00	85.0	1
10:14:10	-95.0	-1
10:14:20	-120.0	-1
10:14:30	-220.0	-1
10:14:40	25.0	0
10:14:50	110.0	0
10:15:00	-35.0	0
10:15:10	-175.0	-1
10:15:20	155.0	1
10:15:30	-135.0	-1
10:15:40	-40.0	0
10:15:50	-170.0	0
10:16:00	25.0	0
10:16:10	20.0	0
10:16:20	255.0	1
10:16:30	85.0	1
10:16:40	-70.0	-1
10:16:50	-50.0	0
10:17:00	-5.0	0
10:17:10	-75.0	-1
10:17:20	175.0	1
10:17:30	-5.0	0
10:17:40	-35.0	0
10:17:50	-15.0	0
10:18:00	-155.0	0
10:18:10	215.0	1
10:18:20	55.0	0
10:18:30	195.0	2
10:18:40	-5.0	0
10:18:50	-25.0	-1
10:19:00	100.0	1
10:19:10	-10.0	0
10:19:20	120.0	1
10:19:30	-125.0	-1
10:19:40	-90.0	-1
10:19:50	55.0	1
10:20:00	0.0	0
10:20:10	-120.0	-1
10:20:20	70.0	0
10:20:30	140.0	1
10:20:40	-5.0	0
10:20:50	-50.0	0
10:21:00	40.0	0
10:21:10	90.0	1
10:21:20	30.0	0
10:21:30	545.0	3
10:21:40	-150.0	-1
10:21:50	25.0	0
10:22:00	-5.0	0
10:22:10	250.0	2
10:22:20	-55.0	0
10:22:30	-105.0	-1
10:22:40	20.0	0
10:22:50	-140.0	-1
10:23:00	-295.0	-2
10:23:10	-425.0	-3
10:23:20	80.0	0
10:23:30	5.0	0
10:23:40	-45.0	0
10:23:50	-10.0	0
10:24:00	-300.0	-2
10:24:10	110.0	1
10:24:20	265.0	2
10:24:30	515.0	3
10:24:40	-340.0	-3
10:24:50	-70.0	0
10:25:00	65.0	0
10:25:10	40.0	0
10:25:20	125.0	1
10:25:30	-135.0	-1
10:25:40	70.0	1
10:25:50	-115.0	-1
10:26:00	-30.0	0
10:26:10	-10.0	0
10:26:20	155.0	1
10:26:30	-10.0	0
10:26:40	315.0	2
10:26:50	185.0	1
10:27:00	-35.0	0
10:27:10	-20.0	0
10:27:20	390.0	3
10:27:30	75.0	0
10:27:40	205.0	2
10:27:50	30.0	0
10:28:00	-5.0	0
10:28:10	-290.0	-3
10:28:20	195.0	2
10:28:30	215.0	1
10:28:40	-40.0	0
10:28:50	-10.0	0
10:29:00	-185.0	-1
10:29:10	90.0	1
10:29:20	160.0	1
10:29:30	-70.0	-1
10:29:40	120.0	1
10:29:50	-100.0	-1
10:30:00	95.0	1
10:30:10	145.0	1
10:30:20	550.0	2
10:30:30	740.0	1
10:30:40	45.0	0
10:30:50	-35.0	-1
10:31:00	-40.0	0
10:31:10	-120.0	-1
10:31:20	85.0	2
10:31:30	175.0	0
10:31:40	320.0	0
10:31:50	-345.0	0
10:32:00	-25.0	-1
10:32:10	-385.0	-2
10:32:20	100.0	0
10:32:30	90.0	0
10:32:40	660.0	3
10:32:50	-70.0	-1
10:33:00	-15.0	0
10:33:10	175.0	1
10:33:20	260.0	2
10:33:30	-85.0	-1
10:33:40	155.0	0
10:33:50	115.0	0
10:34:00	350.0	1
10:34:10	205.0	1
10:34:20	360.0	1
10:34:30	-110.0	-1
10:34:40	-145.0	-1
10:34:50	-125.0	-1
10:35:00	-185.0	-1
10:35:10	-590.0	-4
10:35:20	135.0	1
10:35:30	-25.0	0
10:35:40	410.0	1
10:35:50	-495.0	-2
10:36:00	100.0	1
10:36:10	-180.0	-2
10:36:20	-245.0	-1
10:36:30	-55.0	0
10:36:40	-55.0	0
10:36:50	-220.0	-1
10:37:00	250.0	0
10:37:10	35.0	0
10:37:20	285.0	1
10:37:30	330.0	2
10:37:40	210.0	1
10:37:50	5.0	-1
10:38:00	330.0	2
